,stock,W,L,Data_Type,Month_type,Min_vol,Test_perc,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
208,NEE,52,5,pos_change,m1,1.8166256044519478,100%,0.9122807017543859,NEE,6243.0,21.65%,0.8295454545454546,0.13636363636363635,0.8181818181818182,3.7159090909090913,18.892906286300246
209,PPG,51,9,pos_change,m1,1.9514152572535166,100%,0.85,0,0.0,0,0.42694805194805197,0.2435064935064935,0.3409090909090909,2.3522727272727275,11.05801979110326
210,TFX,55,5,pos_change,m1,2.2673879825082324,100%,0.9166666666666666,0,0.0,0,0.8701298701298701,0.5,0.3409090909090909,4.451298701298701,24.941267807590545
211,BKR,49,10,pos_change,m1,3.070830370317924,100%,0.8305084745762712,BKR,2957.0,41.13%,0.27435064935064934,0.9285714285714286,0.7305194805194806,4.339285714285714,15.047068814557827
212,JBHT,45,11,pos_change,m1,2.8244870860048685,100%,0.8035714285714286,0,0.0,0,0.16233766233766234,0.8506493506493507,0.3409090909090909,3.3798701298701297,11.554719897292648
213,ABMD,46,11,pos_change,m1,4.053884092034725,100%,0.8070175438596491,0,0.0,0,0.16558441558441558,0.9837662337662337,0.3409090909090909,3.788961038961039,16.952606203054298
214,AJG,54,4,pos_change,m1,1.8864541452560806,100%,0.9310344827586207,0,0.0,0,0.9042207792207793,0.18506493506493507,0.3409090909090909,3.608766233766234,25.46713096095708
215,EOG,55,5,pos_change,m1,3.156844210280083,100%,0.9166666666666666,0,0.0,0,0.8701298701298701,0.935064935064935,0.3409090909090909,5.7564935064935066,34.72528631308089
216,PKI,46,14,pos_change,m1,2.49670660392846,100%,0.7666666666666667,0,0.0,0,0.06655844155844155,0.6785714285714286,0.3409090909090909,2.5762987012987013,8.203464555764944
217,INTC,47,13,pos_change,m1,2.454123468118108,100%,0.7833333333333333,INTC,51395.0,25.19%,0.1038961038961039,0.6363636363636364,0.9642857142857143,3.1850649350649354,8.872600230888544
218,CNP,48,12,pos_change,m1,2.0953546026866525,100%,0.8,0,0.0,0,0.14772727272727273,0.3538961038961039,0.3409090909090909,1.8457792207792205,8.381418410746612
219,ROP,53,5,pos_change,m1,2.0424238275724087,100%,0.9137931034482759,0,0.0,0,0.836038961038961,0.3181818181818182,0.3409090909090909,3.8035714285714284,21.649692572267544
220,ROL,54,6,pos_change,m1,2.354325623477957,100%,0.9,0,0.0,0,0.7938311688311688,0.577922077922078,0.3409090909090909,4.4561688311688314,21.18893061130162
221,IBM,49,10,pos_change,m1,1.651409808100797,100%,0.8305084745762712,IBM,38068.0,18.52%,0.27435064935064934,0.045454545454545456,0.9545454545454546,1.9139610389610389,8.091908059693907
222,NTRS,53,7,pos_change,m1,2.1622032720670865,100%,0.8833333333333333,0,0.0,0,0.6883116883116883,0.42857142857142855,0.3409090909090909,3.6915584415584415,16.37096763136508
223,MGM,50,8,pos_change,m1,2.8383743895303417,100%,0.8620689655172413,MGM,8606.0,41.10%,0.48863636363636365,0.8571428571428571,0.8474025974025974,4.884740259740259,17.73983993456463
224,COG,51,9,pos_change,m1,3.065023828499436,100%,0.85,0,0.0,0,0.42694805194805197,0.9253246753246753,0.3409090909090909,4.3977272727272725,17.368468361496802
225,CDNS,45,15,pos_change,m1,2.877545743812846,100%,0.75,0,0.0,0,0.02922077922077922,0.8798701298701299,0.3409090909090909,3.068181818181818,8.632637231438538
226,DXC,51,9,pos_change,m1,2.4168130675935147,100%,0.85,0,0.0,0,0.42694805194805197,0.6168831168831169,0.3409090909090909,3.4724025974025974,13.695274049696582
227,CTAS,45,12,pos_change,m1,2.268240534599201,100%,0.7894736842105263,0,0.0,0,0.12175324675324675,0.5032467532467533,0.3409090909090909,2.215909090909091,8.505902004747004
228,DVN,57,3,pos_change,m1,2.2721760463629885,100%,0.95,DVN,8198.0,47.83%,0.9626623376623377,0.5097402597402597,0.8376623376623377,5.25487012987013,43.17134488089675
229,MHK,48,12,pos_change,m1,2.340295215497324,100%,0.8,0,0.0,0,0.14772727272727273,0.5584415584415584,0.3409090909090909,2.4594155844155843,9.3611808619893
